CLID;GEOID
C-CL69323;GEO1001
C-CL97995;GEO1001
C-CL87299;GEO1003
C-CL38496;GEO1001
C-CL75562;GEO1003
C-CL31601;GEO1001
C-CL33189;GEO1001
C-CL22140;GEO1001
C-CL49960;GEO1002
C-CL43946;GEO1004
C-CL37714;GEO1001
C-CL75274;GEO1002
C-CL61534;GEO1001
C-CL85641;GEO1004
C-CL46663;GEO1001
C-CL17270;GEO1001
C-CL57593;GEO1001
C-CL96680;GEO1001
C-CL79204;GEO1001
C-CL83029;GEO1001
C-CL22675;GEO1004
C-CL83083;GEO1002
C-CL36191;GEO1004
C-CL81431;GEO1004
C-CL96487;GEO1002
C-CL52426;GEO1001
C-CL64939;GEO1001
C-CL50651;GEO1001
C-CL13213;GEO1001
C-CL90358;GEO1003
C-CL71409;GEO1003
C-CL24510;GEO1002
C-CL95487;GEO1002
C-CL23634;GEO1004
C-CL50297;GEO1001
C-CL35993;GEO1002
C-CL60563;GEO1002
C-CL11420;GEO1004
C-CL13257;GEO1003
C-CL94846;GEO1001
C-CL87149;GEO1003
C-CL49900;GEO1004
C-CL29380;GEO1003
C-CL37879;GEO1004
C-CL55399;GEO1002
C-CL44634;GEO1002
C-CL67438;GEO1004
C-CL79103;GEO1002
C-CL99768;GEO1002
C-CL28683;GEO1004
C-CL99496;GEO1002
C-CL92654;GEO1003
C-CL82440;GEO1002